;doc_id;relation;used;used_Felix;Anmerkung;ner;sentence;pre_sentence;post_sentence;section_name;section_index
20716;0b5519f76fc8e31ecf9931f00184aee86694e3a4;Method;1;;;2D t - SNE embedding;Finally , in order to summarize the spatially varying structure of the filters , we use the 2D t - SNE embedding to assign a color to each centroid ( as given by the reference color chart shown top - left ) , and visualize the nearest centroid for the filter at each filter location in the third row grid in Fig .;PCA reveals smooth , symmetric harmonic structure for super - resolution with some intriguing vertical and horizontal features .;[ reference ] .;Visualization and Analysis;14
16508;09ec60f2eea5d43792b2bc9da63b1c9b7719f666;Method;0;;?;analytically - differentiable rendering layer;With the projection parameter , 3D shape , and texture , a novel analytically - differentiable rendering layer is designed to reconstruct the original input face .;Two decoders serve as the nonlinear 3DMM to map from the shape and texture parameters to the 3D shape and texture , respectively .;The entire network is end - to - end trainable with only weak supervision .;Nonlinear 3D Face Morphable Model;0
54599;220a0b46840a2a1421c62d3d343397ab087a3f17;Method;1;;;temporal filters;The temporal filters show a clear derivative - like structure in time .;We also observe filters that spatially resemble second derivative or Gabor filters .;Note that these filters are very different from those reported in ( Sup .;Visualization of Learned Filters .;13
74756;2f92b10acf7c405e55c74c1043dabd9ded1b1800;Method;0;;;integration model;Rather than learning both how to incorporate relevant information and which information is relevant , we use a heuristic retrieval mechanism ( § [ reference ] ) and focus on the integration model .;The retrieval and preparation of contextually relevant information from knowledge sources is a complex research topic by itself , and there are several statistical Manning:2008 and more recently neural approaches mitra2017neural as well as approaches based on reinforcement learning nogueira2017 .;In the next section , we turn to the question of how to leverage the retrieved supplementary knowledge ( encoded as text ) in a NLU system .;External Knowledge as Supplementary Text Inputs;2
58969;23f5854b38a15c2ae201e751311665f7995b5e10;Method;0;;;Vaes;Vaes generalize linear latent - factor models and enable us to explore non - linear probabilistic latent - variable models , powered by neural networks , on large - scale recommendation datasets .;Here , we extend variational autoencoders ( vaes ) [ reference ][ reference ] to collaborative filtering for implicit feedback .;We propose a neural generative model with multinomial conditional likelihood .;INTRODUCTION;2
23219;0ca2bd0e40a8f0a57665535ae1c31561370ad183;Method;1;;;COPY operation;The COPY operation , which simply performs ( c t ,;For example , in the case of the COPY operation , we do not need to compute any of these values and thus can save computations .;h t ) ← ( c t−1 , h t−1 ) , implements the observation that an upper layer should keep its state unchanged until it receives the summarized input from the lower layer .;THE PROPOSED MODEL;5
102107;42e80c73867bff9eaff6beceb8730fc1276283b9;Method;1;;;skip - gram;More concretely , we train our n - gram embeddings using phrase2vechttps: // github.com / artetxem / phrase2vec , a simple extension of skip - gram that applies the standard negative sampling loss of mikolov2013distributed to bigram - context and trigram - context pairs in addition to the usual word - context pairs .;So as to build our initial phrase - table , we follow artetxe2018usmt and learn n - gram embeddings for each language independently , map them to a shared space through self - learning , and use the resulting cross - lingual embeddings to extract and score phrase pairs .;Having done that , we map the embeddings to a cross - lingual space using VecMap with identical initialization artetxe2018robust , which builds an initial solution by aligning identical words and iteratively improves it through self - learning .;Initial phrase - table;4
78018;31e5dab321066712cdc8b30943f7950066840ee1;Method;1;;;tree;The best performing model is GCNSeq , both as a tree and as a graph encoder , with the latter obtaining the highest results .;The results show a clear advantage of tree and graph encoders over the sequential encoder .;Table [ reference ] shows the comparison between our best sequential ( Seq ) , tree ( GCNSeq without reentrancies , henceforth called Tree ) and graph encoders ( GCNSeq with reentrancies , henceforth called Graph ) on the test set of LDC2015E86 and LDC2017T10 .;Experiments;13
71805;2dad7e558a1e2982d0d42042021f4cde4af04abf;Method;1;;;dilated recurrent skip connection;"The main ingredients of the DilatedRNN are its dilated recurrent skip connection and its use of exponentially increasing dilation ; these will be discussed in the following two subsections respectively .";;;Dilated Recurrent Neural Networks;2
102637;42f20d37f4eba56284a941d5f9f58609ee650de0;Method;0;;;self - similarity based method SelfEx;For image “ Chip ” which contains repetitive structures , a self - similarity based method SelfEx is also included for comparison .;“ Cat ” which is corrupted by compression artifacts , Waifu2x is also used for comparison .;It can be observed from the visual results that SRMD can produce much more visually plausible HR images than the competing methods .;Experiments on Real Images;17
97701;40193e7ba0fbd7153a1fe15e95563463b67c71f3;Method;0;;;2DASL;"We believe more "" in - the - wild "" face images used for training ensures better performance of 2DASL .";• to 90 • ) , 2DASL achieves 0.2 lower NME than PRNet .;;Dense face alignment;15
79942;33a8d0a35390fde736744d4a0dd20dff7961c777;Method;1;;;strong graph kernels;It again show a consistent performance gain of accuracy ( highest being on PTC dataset ) on many bioinformatic datasets when compared against with strong graph kernels .;Our GCAPS - CNN is also very competitive with state - of - art graph kernel methods .;While other considered deep learning methods are not even close enough to beat graph kernels on many of these datasets .;Experiment and Results;12
54585;220a0b46840a2a1421c62d3d343397ab087a3f17;Method;0;;?;learning of residual flow;the warping function and learning of residual flow .;–;By using the warping function directly , the convnet does not need to learn it .;Model Size;12
47908;1cf6bc0866226c1f8e282463adc8b75d92fba9bb;Method;1;;;spatial attention architecture;We propose a novel spatial attention architecture that aligns words with image patches in the first hop , and obtain improved results by adding a second attention hop which considers the whole question to choose visual evidence based on the results of the first hop .;Our Spatial Memory Network stores neuron activations from different spatial regions of the image in its memory , and uses the question to choose relevant regions for computing the answer , a process of which constitutes a single “ hop ” in the network .;To better understand the inference process learned by the network , we design synthetic questions that specifically require spatial inference and visualize the attention weights .;Ask , Attend and Answer : Exploring Question - Guided Spatial Attention for Visual Question Answering;0
